                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.58612,                 0.4168,                 0.9355,                0.97558,                0.98655,                0.98613,                0.85407,                0.60184,                0.37544,                0.89774,              0.0005348,              0.0005348,              0.0005348
                     77,                0.60464,                0.42911,                0.93071,                0.97561,                 0.9875,                0.98511,                0.84906,                0.62087,                0.39811,                0.90696,               0.000515,               0.000515,               0.000515
                     78,                 0.5929,                0.42442,                0.92371,                0.97463,                0.98765,                0.98507,                 0.8474,                0.59161,                0.39772,                0.89192,              0.0004952,              0.0004952,              0.0004952
                     79,                0.56849,                0.41788,                0.91327,                0.97391,                0.98765,                0.98565,                0.85223,                0.59998,                0.38906,                0.89588,              0.0004754,              0.0004754,              0.0004754
                     80,                0.58355,                0.39719,                0.94031,                0.97417,                0.98765,                0.98644,                0.85263,                0.58052,                0.37727,                0.89429,              0.0004556,              0.0004556,              0.0004556
                     81,                0.57625,                0.40822,                0.91645,                0.98759,                0.98249,                0.98643,                 0.8541,                 0.5913,                0.37305,                0.89699,              0.0004358,              0.0004358,              0.0004358
                     82,                0.57409,                0.41353,                0.91545,                0.98761,                0.98438,                0.98646,                 0.8494,                0.59014,                0.35962,                0.89806,               0.000416,               0.000416,               0.000416
                     83,                0.56026,                0.39366,                0.91097,                0.98642,                0.98765,                0.98643,                0.85446,                0.57452,                0.36117,                0.89337,              0.0003962,              0.0003962,              0.0003962
                     84,                0.56805,                0.40612,                0.92085,                 0.9753,                0.98765,                0.98589,                0.84912,                0.60261,                0.36608,                0.89945,              0.0003764,              0.0003764,              0.0003764
                     85,                0.59958,                0.42425,                0.95436,                0.97409,                0.98765,                0.98587,                0.85805,                0.60541,                0.37541,                0.90141,              0.0003566,              0.0003566,              0.0003566
                     86,                0.55372,                0.38576,                0.91292,                0.97657,                0.98765,                 0.9867,                0.85992,                0.57283,                0.36634,                0.89351,              0.0003368,              0.0003368,              0.0003368
                     87,                0.53355,                0.40481,                0.91172,                0.97102,                0.98765,                0.98446,                0.85332,                0.56734,                0.36104,                0.89419,               0.000317,               0.000317,               0.000317
                     88,                0.56801,                0.38186,                0.91029,                0.97551,                0.98357,                0.98468,                0.84077,                0.60163,                0.36951,                0.89662,              0.0002972,              0.0002972,              0.0002972
                     89,                0.52699,                0.37551,                0.90258,                0.97264,                0.98765,                 0.9842,                 0.8549,                0.59358,                0.36886,                0.90335,              0.0002774,              0.0002774,              0.0002774
                     90,                 0.5373,                0.38598,                0.91795,                0.97388,                0.98765,                0.98403,                0.85507,                 0.5801,                0.35771,                 0.8989,              0.0002576,              0.0002576,              0.0002576
                     91,                0.49502,                0.34252,                0.86229,                0.97308,                0.98765,                0.98411,                0.85176,                 0.5711,                0.36003,                0.89046,              0.0002378,              0.0002378,              0.0002378
                     92,                 0.5069,                0.34073,                0.85713,                0.96825,                0.98765,                0.98551,                0.85658,                0.56823,                0.36163,                0.88869,               0.000218,               0.000218,               0.000218
                     93,                 0.4735,                0.32907,                0.84787,                0.96439,                0.98765,                0.98583,                0.85865,                0.57023,                 0.3622,                0.88931,              0.0001982,              0.0001982,              0.0001982
                     94,                0.47104,                0.32286,                0.85813,                0.97559,                0.98693,                0.98685,                0.86585,                0.56769,                0.35558,                0.88856,              0.0001784,              0.0001784,              0.0001784
                     95,                0.46814,                0.31894,                0.85992,                0.97556,                0.98562,                0.98656,                0.86265,                0.56177,                0.35848,                0.88313,              0.0001586,              0.0001586,              0.0001586
                     96,                0.46315,                0.31447,                0.85032,                0.97557,                 0.9862,                0.98681,                0.86737,                0.56793,                0.34869,                0.88545,              0.0001388,              0.0001388,              0.0001388
                     97,                0.46851,                0.32664,                0.87751,                0.97456,                0.98765,                0.98656,                0.86502,                0.56597,                0.34791,                0.88483,               0.000119,               0.000119,               0.000119
                     98,                0.44708,                0.30587,                0.85769,                0.97332,                0.98765,                0.98689,                0.87247,                0.54841,                0.33895,                0.87892,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.44171,                0.30869,                0.84923,                0.97253,                0.98765,                0.98721,                0.87236,                0.54498,                0.33972,                0.87628,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.44552,                0.30816,                0.84631,                0.97054,                0.98765,                0.98713,                0.87634,                0.55011,                 0.3468,                0.87853,               5.96e-05,               5.96e-05,               5.96e-05
